_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
789035,24 Ramsden Rd,Front Yard Parking,0,17.0,29.0,16,8.0,25% of ballots received by voters,0,29.0,0.0,1,2015-07-24,0.0,29.0,2018-07-25,2015-06-24,10.0,50% + 1 of received ballots,FYP 2015-142,210.0,In Favour,39.0,Yes
789036,2002 Queen St E,Boulevard Cafe,0,26.0,66.0,10,15.0,25% of ballots received by voters,8,60.0,6.0,8,2015-07-16,0.0,66.0,2017-07-17,2015-06-17,14.0,50% + 1 of received ballots,BCP 2015-143,211.0,Opposed,82.0,Yes
789037,1346 Queen St W,Boulevard Cafe,0,0.0,18.0,0,4.0,25% of ballots received by voters,0,14.0,4.0,0,2015-07-17,0.0,18.0,2017-07-18,2015-06-18,,50% + 1 of received ballots,BCP 2015-144,212.0,Response Rate Not Met,28.0,No
789038,1375 Dundas St W,Boulevard Cafe,2,35.0,43.0,32,11.0,25% of ballots received by voters,1,43.0,0.0,0,2015-07-23,0.0,43.0,2017-07-24,2015-06-23,19.0,50% + 1 of received ballots,BCP 2015-145,213.0,In Favour,55.0,Yes
789039,105 Scarborough Rd,Appeal - Front Yard Parking,0,33.0,67.0,4,17.0,25% of ballots received by voters,23,66.0,1.0,6,2015-07-29,0.0,67.0,2018-07-30,2015-06-29,18.0,50% + 1 of received ballots,FYPA 2015-146,214.0,Opposed,129.0,Yes
789040,85 Astoria Ave,Appeal - Front Yard Parking,0,20.0,40.0,20,10.0,25% of ballots received by voters,0,37.0,3.0,0,2015-07-25,0.0,40.0,2018-07-26,2015-06-25,11.0,50% + 1 of received ballots,FYPA 2015-147,215.0,In Favour,49.0,Yes
789041,216 Scarborough Rd,Appeal - Front Yard Parking,0,47.0,84.0,33,21.0,25% of ballots received by voters,5,83.0,1.0,9,2015-07-29,0.0,84.0,2018-07-30,2015-06-29,25.0,50% + 1 of received ballots,FYPA 2015-148,216.0,In Favour,92.0,Yes
789042,212 Wineva Ave,Appeal - Front Yard Parking,0,48.0,127.0,32,32.0,25% of ballots received by voters,10,127.0,0.0,6,2015-07-25,0.0,127.0,2018-07-26,2015-06-25,25.0,50% + 1 of received ballots,FYPA 2015-149,217.0,In Favour,156.0,Yes
789043,,Traffic Calming,0,36.0,86.0,30,42.0,50% + 1 of ballots received by voters,5,81.0,5.0,1,2015-08-14,0.0,86.0,2017-08-15,2015-07-15,,60% of received ballots,TCP 2015-150,218.0,Response Rate Not Met,93.0,No
789044,482 Northcliffe Blvd,Appeal - Front Yard Parking,0,27.0,101.0,20,24.0,25% of ballots received by voters,2,96.0,5.0,5,2015-07-29,0.0,101.0,2018-07-30,2015-06-29,15.0,50% + 1 of received ballots,FYPA 2015-151,219.0,In Favour,119.0,Yes
