_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
789541,,Traffic Calming,0,57.0,115.0,32,56.0,50% + 1 of ballots received by voters,23,110.0,5.0,2,2017-11-24,0.0,115.0,2019-11-25,2017-10-25,35.0,60% of received ballots,TCP 2017-176,779.0,Opposed,123.0,Yes
789542,,Traffic Calming,0,36.0,65.0,18,32.0,50% + 1 of ballots received by voters,15,62.0,3.0,3,2017-11-25,0.0,65.0,2019-11-26,2017-10-26,22.0,60% of received ballots,TCP 2017-177,780.0,Opposed,78.0,Yes
789543,859 Bloor St W,Boulevard Cafe,0,39.0,154.0,30,37.0,25% of ballots received by voters,7,147.0,7.0,2,2017-11-29,0.0,154.0,2019-11-30,2017-10-30,21.0,50% + 1 of received ballots,BCP 2017-178,781.0,In Favour,187.0,Yes
789544,76 Castlefield Ave,Front Yard Parking,0,74.0,113.0,69,28.0,25% of ballots received by voters,2,110.0,3.0,3,2017-11-22,0.0,113.0,2020-11-23,2017-10-23,38.0,50% + 1 of received ballots,FYP 2017-179,782.0,In Favour,150.0,Yes
789545,97 Roslin Ave,Appeal - Front Yard Parking,0,21.0,60.0,6,15.0,25% of ballots received by voters,13,60.0,0.0,2,2017-11-29,0.0,60.0,2020-11-30,2017-10-30,12.0,50% + 1 of received ballots,FYPA 2017-180,783.0,Opposed,70.0,Yes
789546,2755 Dundas St W,Boulevard Cafe,0,31.0,92.0,17,22.0,25% of ballots received by voters,6,85.0,7.0,8,2017-12-02,0.0,92.0,2019-12-03,2017-11-02,17.0,50% + 1 of received ballots,BCP 2017-181,784.0,In Favour,120.0,Yes
789547,52 Belvidere Ave,Appeal - Front Yard Parking,0,23.0,74.0,17,19.0,25% of ballots received by voters,5,74.0,0.0,1,2017-11-30,0.0,74.0,2020-12-01,2017-10-31,13.0,50% + 1 of received ballots,FYPA 2017-182,785.0,In Favour,91.0,Yes
789548,,Traffic Calming,0,77.0,125.0,56,63.0,50% + 1 of ballots received by voters,11,123.0,2.0,10,2017-12-07,0.0,125.0,2019-12-08,2017-11-07,47.0,60% of received ballots,TCP 2017-183,790.0,In Favour,152.0,Yes
789549,,Traffic Calming,0,56.0,113.0,45,57.0,50% + 1 of ballots received by voters,8,111.0,2.0,3,2017-12-08,0.0,113.0,2019-12-09,2017-11-08,,60% of received ballots,TCP 2017-184,791.0,Response Rate Not Met,147.0,No
789550,,Traffic Calming,0,58.0,107.0,34,55.0,50% + 1 of ballots received by voters,24,107.0,0.0,0,2017-12-09,0.0,107.0,2019-12-10,2017-11-09,35.0,60% of received ballots,TCP 2017-185,793.0,Opposed,114.0,Yes
789551,,Traffic Calming,0,3.0,10.0,3,6.0,50% + 1 of ballots received by voters,0,10.0,0.0,0,2017-12-09,0.0,10.0,2019-12-10,2017-11-09,,60% of received ballots,TCP 2017-186,794.0,Response Rate Not Met,13.0,No
789552,,Traffic Calming,0,53.0,73.0,29,37.0,50% + 1 of ballots received by voters,23,72.0,1.0,1,2017-12-13,0.0,73.0,2019-12-14,2017-11-13,32.0,60% of received ballots,TCP 2017-187,795.0,Opposed,82.0,Yes
789553,33 Church St (York),Front Yard Parking,0,5.0,28.0,5,7.0,25% of ballots received by voters,0,27.0,1.0,0,2017-12-09,0.0,28.0,2020-12-10,2017-11-09,,50% + 1 of received ballots,FYP 2017-188,796.0,Response Rate Not Met,78.0,No
789554,128 Cameron Ave (York),Front Yard Parking,0,52.0,79.0,45,20.0,25% of ballots received by voters,0,79.0,0.0,7,2017-12-13,0.0,79.0,2020-12-14,2017-11-13,27.0,50% + 1 of received ballots,FYP 2017-189,797.0,In Favour,99.0,Yes
789555,,Traffic Calming,0,72.0,235.0,43,111.0,50% + 1 of ballots received by voters,16,220.0,15.0,13,2017-12-30,0.0,235.0,2019-12-31,2017-11-30,,60% of received ballots,TCP 2017-190,798.0,Response Rate Not Met,271.0,No
789556,,Traffic Calming,0,60.0,206.0,36,101.0,50% + 1 of ballots received by voters,7,200.0,6.0,17,2017-12-30,0.0,206.0,2019-12-31,2017-11-30,,60% of received ballots,TCP 2017-191,799.0,Response Rate Not Met,265.0,No
789557,,Traffic Calming,0,40.0,89.0,17,40.0,50% + 1 of ballots received by voters,12,78.0,11.0,11,2017-12-20,0.0,89.0,2019-12-21,2017-11-20,24.0,60% of received ballots,TCP 2017-192,800.0,Opposed,117.0,Yes
789558,,Traffic Calming,0,57.0,95.0,43,48.0,50% + 1 of ballots received by voters,11,94.0,1.0,3,2017-12-23,0.0,95.0,2019-12-24,2017-11-23,35.0,60% of received ballots,TCP 2017-193,801.0,In Favour,109.0,Yes
789559,87 Hanna Rd,Front Yard Parking,0,30.0,50.0,8,13.0,25% of ballots received by voters,21,50.0,0.0,1,2018-01-03,1.0,50.0,2021-01-04,2017-12-04,16.0,50% + 1 of received ballots,FYP 2017-194,802.0,Opposed,58.0,Yes
789560,9 Bellefair Ave,Appeal - Front Yard Parking,0,42.0,83.0,34,21.0,25% of ballots received by voters,1,82.0,1.0,7,2018-01-03,0.0,83.0,2021-01-04,2017-12-04,22.0,50% + 1 of received ballots,FYPA 2017-195,803.0,In Favour,154.0,Yes
789561,,Traffic Calming,0,3.0,11.0,2,7.0,50% + 1 of ballots received by voters,1,11.0,0.0,0,2018-01-03,0.0,11.0,2020-01-04,2017-12-04,,60% of received ballots,TCP 2017-196,804.0,Response Rate Not Met,12.0,No
789562,,Traffic Calming,0,10.0,42.0,9,22.0,50% + 1 of ballots received by voters,0,42.0,0.0,1,2018-01-10,0.0,42.0,2020-01-11,2017-12-11,,60% of received ballots,TCP 2017-197,805.0,Response Rate Not Met,59.0,No
789563,,Traffic Calming,0,34.0,49.0,34,26.0,50% + 1 of ballots received by voters,0,49.0,0.0,0,2018-01-11,0.0,49.0,2020-01-12,2017-12-12,21.0,60% of received ballots,TCP 2017-198,806.0,In Favour,59.0,Yes
789564,383 Quebec Ave,Front Yard Parking,0,41.0,92.0,36,22.0,25% of ballots received by voters,2,87.0,5.0,3,2018-01-06,0.0,92.0,2021-01-07,2017-12-07,22.0,50% + 1 of received ballots,FYP 2017-199,807.0,In Favour,128.0,Yes
789565,108 Mountview Ave,Front Yard Parking,0,12.0,13.0,9,4.0,25% of ballots received by voters,0,13.0,0.0,3,2018-01-06,0.0,13.0,2021-01-07,2017-12-07,7.0,50% + 1 of received ballots,FYP 2017-200,808.0,In Favour,896.0,Yes
789566,22 Bushey Ave,Front Yard Parking,0,47.0,98.0,38,24.0,25% of ballots received by voters,5,96.0,2.0,4,2018-01-10,0.0,98.0,2021-01-11,2017-12-11,25.0,50% + 1 of received ballots,FYP 2017-201,809.0,In Favour,155.0,Yes
789567,492 St Clarens Ave,Appeal - Front Yard Parking,0,39.0,145.0,29,35.0,25% of ballots received by voters,6,139.0,6.0,4,2018-01-12,0.0,145.0,2021-01-13,2017-12-13,21.0,50% + 1 of received ballots,FYPA 2017-202,810.0,In Favour,167.0,Yes
789568,479 Danforth Ave,Boulevard Cafe,0,17.0,54.0,12,13.0,25% of ballots received by voters,4,52.0,2.0,1,2018-01-17,0.0,54.0,2020-01-18,2017-12-18,10.0,50% + 1 of received ballots,BCP 2017-203,811.0,In Favour,69.0,Yes
789569,118 Robina Ave,Appeal - Front Yard Parking,0,57.0,151.0,30,35.0,25% of ballots received by voters,5,139.0,12.0,22,2018-02-14,0.0,151.0,2021-02-15,2018-01-15,30.0,50% + 1 of received ballots,FYPA 2017-204,812.0,In Favour,174.0,Yes
789570,17 Dilworth Cres,Appeal - Front Yard Parking,0,53.0,96.0,46,24.0,25% of ballots received by voters,2,96.0,0.0,5,2018-02-15,0.0,96.0,2021-02-16,2018-01-16,28.0,50% + 1 of received ballots,FYPA 2017-205,813.0,In Favour,106.0,Yes
789571,21 Braeside Rd,Front Yard Parking,0,31.0,46.0,30,12.0,25% of ballots received by voters,0,45.0,1.0,1,2018-02-17,0.0,46.0,2021-02-18,2018-01-18,17.0,50% + 1 of received ballots,FYP 2017-206,814.0,In Favour,55.0,Yes
789572,1288 Dundas St W,Boulevard Cafe,0,31.0,105.0,11,24.0,25% of ballots received by voters,8,94.0,11.0,12,2018-02-21,0.0,105.0,2020-02-22,2018-01-22,17.0,50% + 1 of received ballots,BCP 2017-207,815.0,Opposed,136.0,Yes
789573,125 Trowell Ave,Appeal - Front Yard Parking,0,28.0,81.0,24,18.0,25% of ballots received by voters,1,71.0,10.0,3,2018-02-17,2.0,81.0,2021-02-18,2018-01-18,15.0,50% + 1 of received ballots,FYPA 2017-209,817.0,In Favour,98.0,Yes
789574,46 Bicknell Ave,Appeal - Front Yard Parking,0,12.0,53.0,12,13.0,25% of ballots received by voters,0,51.0,2.0,0,2018-02-10,0.0,53.0,2021-02-11,2018-01-11,,50% + 1 of received ballots,FYPA 2017-210,818.0,Response Rate Not Met,71.0,No
789575,255 Campbell Ave,Front Yard Parking,0,41.0,73.0,33,19.0,25% of ballots received by voters,1,73.0,0.0,7,2018-02-14,0.0,73.0,2021-02-15,2018-01-15,22.0,50% + 1 of received ballots,FYP 2017-211,819.0,In Favour,241.0,Yes
789576,24 Homeview Ave,Front Yard Parking,0,33.0,68.0,26,17.0,25% of ballots received by voters,3,68.0,0.0,4,2018-02-14,0.0,68.0,2021-02-15,2018-01-15,18.0,50% + 1 of received ballots,FYP 2017-212,820.0,In Favour,82.0,Yes
789577,50 Guestville Ave,Front Yard Parking,0,36.0,79.0,32,19.0,25% of ballots received by voters,2,75.0,4.0,2,2018-02-16,0.0,79.0,2021-02-17,2018-01-17,19.0,50% + 1 of received ballots,FYP 2017-214,822.0,In Favour,91.0,Yes
789578,14 Edgewood Grv,Front Yard Parking,0,19.0,30.0,19,8.0,25% of ballots received by voters,0,30.0,0.0,0,2018-02-17,0.0,30.0,2021-02-18,2018-01-18,11.0,50% + 1 of received ballots,FYP 2017-215,823.0,In Favour,34.0,Yes
789579,,Permit Parking,0,101.0,397.0,34,86.0,25% of ballots received by voters,64,341.0,56.0,3,2018-03-03,2.0,397.0,2020-03-04,2018-02-01,52.0,50% + 1 of received ballots,PPP 2018-001,824.0,Opposed,450.0,Yes
789580,,Permit Parking,0,26.0,178.0,3,44.0,25% of ballots received by voters,17,173.0,5.0,6,2018-03-03,0.0,178.0,2020-03-04,2018-02-01,,50% + 1 of received ballots,PPP 2018-002,825.0,Response Rate Not Met,224.0,No
789581,,Permit Parking,0,43.0,264.0,8,60.0,25% of ballots received by voters,32,238.0,26.0,3,2018-03-03,0.0,264.0,2020-03-04,2018-02-01,,50% + 1 of received ballots,PPP 2018-003,826.0,Response Rate Not Met,305.0,No
789582,425 Armadale Ave,Front Yard Parking,0,33.0,64.0,33,16.0,25% of ballots received by voters,0,64.0,0.0,0,2018-02-22,2.0,64.0,2021-02-23,2018-01-23,18.0,50% + 1 of received ballots,FYP 2018-005,828.0,In Favour,85.0,Yes
789583,354 Wallace Ave,Front Yard Parking,0,23.0,49.0,23,12.0,25% of ballots received by voters,0,47.0,2.0,0,2018-03-15,0.0,49.0,2021-03-16,2018-02-13,13.0,50% + 1 of received ballots,FYP 2018-006,829.0,In Favour,292.0,Yes
789584,41 Rusholme Dr,Front Yard Parking,0,21.0,56.0,21,14.0,25% of ballots received by voters,0,56.0,0.0,0,2018-02-24,0.0,56.0,2021-02-25,2018-01-25,12.0,50% + 1 of received ballots,FYP 2018-007,830.0,In Favour,91.0,Yes
789585,19 Le May Rd,Appeal - Front Yard Parking,0,38.0,56.0,21,14.0,25% of ballots received by voters,15,54.0,2.0,2,2018-02-28,0.0,56.0,2021-03-01,2018-01-29,20.0,50% + 1 of received ballots,FYPA 2018-008,831.0,In Favour,62.0,Yes
789586,26 St Annes Rd,Appeal - Front Yard Parking,0,26.0,73.0,24,18.0,25% of ballots received by voters,0,70.0,3.0,2,2018-03-03,0.0,73.0,2021-03-04,2018-02-01,14.0,50% + 1 of received ballots,FYPA 2018-009,832.0,In Favour,101.0,Yes
789587,72 Coolmine Rd,Appeal - Front Yard Parking,0,46.0,62.0,37,16.0,25% of ballots received by voters,5,62.0,0.0,4,2018-02-28,0.0,62.0,2021-03-01,2018-01-29,24.0,50% + 1 of received ballots,FYPA 2018-010,833.0,In Favour,86.0,Yes
789588,444 Westmount Ave,Appeal - Front Yard Parking,0,36.0,165.0,22,41.0,25% of ballots received by voters,9,164.0,1.0,5,2018-02-28,0.0,165.0,2021-03-01,2018-01-29,,50% + 1 of received ballots,FYPA 2018-011,834.0,Response Rate Not Met,213.0,No
789589,83 Campbell Ave,Appeal - Front Yard Parking,0,46.0,151.0,42,35.0,25% of ballots received by voters,0,140.0,11.0,4,2018-03-01,0.0,151.0,2021-03-02,2018-01-30,24.0,50% + 1 of received ballots,FYPA 2018-012,835.0,In Favour,197.0,Yes
789590,884 Queen St E,Boulevard Cafe,0,33.0,51.0,26,13.0,25% of ballots received by voters,5,50.0,1.0,2,2018-03-10,0.0,51.0,2020-03-11,2018-02-08,18.0,50% + 1 of received ballots,BCP 2018-015,838.0,In Favour,56.0,Yes
789591,,Traffic Calming,0,25.0,71.0,18,32.0,50% + 1 of ballots received by voters,7,62.0,9.0,0,2018-03-14,0.0,71.0,2020-03-15,2018-02-12,,60% of received ballots,TCP 2018-016,841.0,Response Rate Not Met,80.0,No
789592,,Traffic Calming,1,31.0,119.0,15,59.0,50% + 1 of ballots received by voters,14,117.0,2.0,1,2018-03-07,0.0,119.0,2020-03-08,2018-02-05,,60% of received ballots,TCP 2018-017,842.0,Response Rate Not Met,128.0,No
789593,97 Roslin Ave,Appeal - Front Yard Parking,0,28.0,60.0,12,15.0,25% of ballots received by voters,14,59.0,1.0,2,2018-03-07,0.0,60.0,2021-03-08,2018-02-05,15.0,50% + 1 of received ballots,FYPA 2018-018,843.0,Opposed,70.0,Yes
789594,160 Cedric Ave,Appeal - Front Yard Parking,0,53.0,185.0,23,44.0,25% of ballots received by voters,23,176.0,9.0,7,2018-03-02,0.0,185.0,2021-03-03,2018-01-31,28.0,50% + 1 of received ballots,FYPA 2018-019,844.0,Opposed,235.0,Yes
789595,,Traffic Calming,1,49.0,82.0,43,41.0,50% + 1 of ballots received by voters,4,80.0,2.0,1,2018-03-16,0.0,82.0,2020-03-17,2018-02-14,30.0,60% of received ballots,TCP 2018-020,845.0,In Favour,96.0,Yes
789596,328 Glenholme Ave,Front Yard Parking,0,20.0,38.0,14,9.0,25% of ballots received by voters,3,33.0,5.0,3,2018-03-16,0.0,38.0,2021-03-17,2018-02-14,11.0,50% + 1 of received ballots,FYP 2018-021,846.0,In Favour,48.0,Yes
789597,165 Wallace Ave,Front Yard Parking,0,17.0,88.0,15,21.0,25% of ballots received by voters,0,83.0,5.0,2,2018-03-17,0.0,88.0,2021-03-18,2018-02-15,,50% + 1 of received ballots,FYP 2018-022,847.0,Response Rate Not Met,121.0,No
789598,,Traffic Calming,0,82.0,616.0,61,298.0,50% + 1 of ballots received by voters,12,593.0,23.0,9,2018-03-16,0.0,616.0,2020-03-17,2018-02-14,,60% of received ballots,TCP 2018-025,850.0,Response Rate Not Met,744.0,No
789599,,Permit Parking,0,22.0,95.0,13,23.0,25% of ballots received by voters,8,90.0,5.0,1,2018-03-15,0.0,95.0,2020-03-16,2018-02-13,,50% + 1 of received ballots,PPP 2018-026,851.0,Response Rate Not Met,110.0,No
789600,,Permit Parking,0,58.0,234.0,23,57.0,25% of ballots received by voters,33,226.0,8.0,2,2018-03-17,0.0,234.0,2020-03-18,2018-02-15,30.0,50% + 1 of received ballots,PPP 2018-027,852.0,Opposed,265.0,Yes
789601,,Traffic Calming,0,39.0,69.0,31,32.0,50% + 1 of ballots received by voters,5,62.0,7.0,3,2018-03-17,1.0,69.0,2020-03-18,2018-02-15,24.0,60% of received ballots,TCP 2018-028,855.0,In Favour,77.0,Yes
789602,,Traffic Calming,0,123.0,192.0,96,88.0,50% + 1 of ballots received by voters,21,173.0,19.0,6,2018-03-22,0.0,192.0,2020-03-23,2018-02-20,74.0,60% of received ballots,TCP 2018-029,856.0,In Favour,217.0,Yes
789603,53 Brookside Ave,Appeal - Front Yard Parking,0,37.0,62.0,31,15.0,25% of ballots received by voters,4,60.0,2.0,2,2018-03-28,0.0,62.0,2021-03-29,2018-02-26,20.0,50% + 1 of received ballots,FYPA 2018-030,857.0,In Favour,71.0,Yes
789604,55 Brookside Ave,Appeal - Front Yard Parking,0,37.0,62.0,31,15.0,25% of ballots received by voters,3,60.0,2.0,3,2018-03-29,0.0,62.0,2021-03-30,2018-02-27,20.0,50% + 1 of received ballots,FYPA 2018-031,858.0,In Favour,71.0,Yes
789605,104 Mountview Ave,Appeal - Front Yard Parking,0,11.0,11.0,11,3.0,25% of ballots received by voters,0,11.0,0.0,0,2018-03-29,0.0,11.0,2021-03-30,2018-02-27,7.0,50% + 1 of received ballots,FYPA 2018-032,859.0,In Favour,16.0,Yes
789606,299 Mortimer Ave,Appeal - Front Yard Parking,0,52.0,76.0,43,19.0,25% of ballots received by voters,8,76.0,0.0,1,2018-03-23,0.0,76.0,2021-03-24,2018-02-21,27.0,50% + 1 of received ballots,FYPA 2018-034,861.0,In Favour,84.0,Yes
789607,161 Linsmore Cres,Appeal - Front Yard Parking,0,54.0,106.0,42,27.0,25% of ballots received by voters,12,105.0,1.0,0,2018-03-23,0.0,106.0,2021-03-24,2018-02-21,28.0,50% + 1 of received ballots,FYPA 2018-035,862.0,In Favour,115.0,Yes
789608,102 Mountview Ave,Appeal - Front Yard Parking,0,13.0,13.0,13,4.0,25% of ballots received by voters,0,13.0,0.0,0,2018-03-24,0.0,13.0,2021-03-25,2018-02-22,8.0,50% + 1 of received ballots,FYPA 2018-036,863.0,In Favour,902.0,Yes
789609,29 Rowland St,Front Yard Parking,0,32.0,76.0,29,18.0,25% of ballots received by voters,0,69.0,7.0,3,2018-03-22,0.0,76.0,2021-03-23,2018-02-20,17.0,50% + 1 of received ballots,FYP 2018-037,864.0,In Favour,110.0,Yes
789610,57 Beresford Ave,Front Yard Parking,0,41.0,107.0,33,26.0,25% of ballots received by voters,4,104.0,3.0,4,2018-03-24,0.0,107.0,2021-03-25,2018-02-22,22.0,50% + 1 of received ballots,FYP 2018-038,865.0,In Favour,129.0,Yes
789611,358 Fairlawn Ave,Front Yard Parking,0,29.0,59.0,27,15.0,25% of ballots received by voters,0,59.0,0.0,2,2018-03-29,0.0,59.0,2021-03-30,2018-02-27,16.0,50% + 1 of received ballots,FYP 2018-039,866.0,In Favour,187.0,Yes
789612,45 Poplar Plains Cres,Front Yard Parking,0,32.0,46.0,24,11.0,25% of ballots received by voters,5,44.0,2.0,3,2018-04-04,0.0,46.0,2021-04-05,2018-03-05,17.0,50% + 1 of received ballots,FYP 2018-040,867.0,In Favour,51.0,Yes
789613,119 Russett Ave,Front Yard Parking,0,63.0,125.0,56,30.0,25% of ballots received by voters,2,118.0,7.0,5,2018-04-05,0.0,125.0,2021-04-06,2018-03-06,33.0,50% + 1 of received ballots,FYP 2018-041,868.0,In Favour,152.0,Yes
789614,53 Denison Rd W,Front Yard Parking,1,47.0,71.0,39,18.0,25% of ballots received by voters,0,71.0,0.0,7,2018-04-05,1.0,71.0,2021-04-06,2018-03-06,25.0,50% + 1 of received ballots,FYP 2018-042,869.0,In Favour,89.0,Yes
789615,,Proposed Business Improvement Area,0,7.0,20.0,7,6.0,30% of ballots received by voters or 100,0,20.0,0.0,0,2018-04-13,2.0,20.0,2020-04-14,2018-02-12,4.0,50% of received ballots,PBIA 2018-043,870.0,In Favour,54.0,Yes
789616,9 Durie St,Appeal - Front Yard Parking,0,30.0,67.0,25,16.0,25% of ballots received by voters,3,61.0,6.0,2,2018-03-28,0.0,67.0,2021-03-29,2018-02-26,16.0,50% + 1 of received ballots,FYPA 2018-044,871.0,In Favour,72.0,Yes
789617,272 Rusholme Rd,Front Yard Parking,0,33.0,78.0,14,17.0,25% of ballots received by voters,17,67.0,11.0,2,2018-03-30,0.0,78.0,2021-03-31,2018-02-28,18.0,50% + 1 of received ballots,FYP 2018-045,872.0,Opposed,98.0,Yes
789618,266 Waverley Rd,Appeal - Front Yard Parking,1,49.0,106.0,23,27.0,25% of ballots received by voters,23,106.0,0.0,2,2018-03-30,0.0,106.0,2021-03-31,2018-02-28,26.0,50% + 1 of received ballots,FYPA 2018-046,873.0,Opposed,123.0,Yes
789619,102 Bellefair Ave,Appeal - Front Yard Parking,0,43.0,84.0,13,20.0,25% of ballots received by voters,30,80.0,4.0,0,2018-04-04,0.0,84.0,2021-04-05,2018-03-05,23.0,50% + 1 of received ballots,FYPA 2018-047,874.0,Opposed,96.0,Yes
789620,42 Bellhaven Rd,Appeal - Front Yard Parking,0,42.0,59.0,37,15.0,25% of ballots received by voters,0,57.0,2.0,5,2018-04-12,2.0,59.0,2021-04-13,2018-03-13,22.0,50% + 1 of received ballots,FYPA 2018-048,875.0,In Favour,69.0,Yes
789621,117 Symington Ave,Front Yard Parking,0,91.0,200.0,86,44.0,25% of ballots received by voters,1,175.0,25.0,4,2018-04-13,0.0,200.0,2021-04-14,2018-03-14,47.0,50% + 1 of received ballots,FYP 2018-049,876.0,In Favour,260.0,Yes
789622,432 Margueretta St,Front Yard Parking,0,49.0,183.0,33,44.0,25% of ballots received by voters,4,174.0,9.0,12,2018-04-06,0.0,183.0,2021-04-07,2018-03-07,26.0,50% + 1 of received ballots,FYP 2018-050,877.0,In Favour,233.0,Yes
789623,5 Osler St,Front Yard Parking,0,35.0,75.0,29,17.0,25% of ballots received by voters,3,65.0,10.0,3,2018-04-14,0.0,75.0,2021-04-15,2018-03-15,19.0,50% + 1 of received ballots,FYP 2018-051,878.0,In Favour,103.0,Yes
789624,245 Symington Ave,Front Yard Parking,0,32.0,128.0,28,29.0,25% of ballots received by voters,0,116.0,12.0,4,2018-04-18,0.0,128.0,2021-04-19,2018-03-19,17.0,50% + 1 of received ballots,FYP 2018-052,879.0,In Favour,162.0,Yes
789625,,Traffic Calming,0,120.0,343.0,53,159.0,50% + 1 of ballots received by voters,50,315.0,28.0,17,2018-04-07,0.0,343.0,2020-04-08,2018-03-08,,60% of received ballots,TCP 2018-053,880.0,Response Rate Not Met,433.0,No
789626,715 Oriole Pkwy,Appeal - Front Yard Parking,0,7.0,35.0,5,9.0,25% of ballots received by voters,1,35.0,0.0,1,2018-04-12,0.0,35.0,2021-04-13,2018-03-13,,50% + 1 of received ballots,FYPA 2018-054,881.0,Response Rate Not Met,41.0,No
789627,,Traffic Calming,0,122.0,335.0,51,152.0,50% + 1 of ballots received by voters,54,302.0,33.0,17,2018-04-27,0.0,335.0,2020-04-28,2018-03-28,,60% of received ballots,TCP 2018-055,882.0,Response Rate Not Met,401.0,No
789628,890 College St (former Toronto),Boulevard Cafe,0,13.0,135.0,10,27.0,25% of ballots received by voters,2,106.0,29.0,1,2018-04-07,0.0,135.0,2020-04-08,2018-03-08,,50% + 1 of received ballots,BCP 2018-056,883.0,Response Rate Not Met,170.0,No
789629,,Permit Parking,0,13.0,19.0,11,5.0,25% of ballots received by voters,0,19.0,0.0,2,2018-04-18,0.0,19.0,2020-04-19,2018-03-19,8.0,50% + 1 of received ballots,PPP 2018-057,884.0,In Favour,21.0,Yes
789630,4 Glencairn Ave,Front Yard Parking,0,33.0,58.0,28,15.0,25% of ballots received by voters,0,57.0,1.0,5,2018-04-19,0.0,58.0,2021-04-20,2018-03-20,18.0,50% + 1 of received ballots,FYP 2018-058,885.0,In Favour,69.0,Yes
789631,62 Runnymede Rd,Front Yard Parking,0,58.0,104.0,48,26.0,25% of ballots received by voters,6,104.0,0.0,4,2018-04-11,0.0,104.0,2021-04-12,2018-03-12,30.0,50% + 1 of received ballots,FYP 2018-059,886.0,In Favour,123.0,Yes
789632,104 Highland Ave,Appeal - Front Yard Parking,0,5.0,21.0,4,6.0,25% of ballots received by voters,0,21.0,0.0,1,2018-04-11,0.0,21.0,2021-04-12,2018-03-12,,50% + 1 of received ballots,FYPA 2018-060,887.0,Response Rate Not Met,21.0,No
789633,633 Lauder Ave,Appeal - Front Yard Parking,0,10.0,42.0,8,9.0,25% of ballots received by voters,1,36.0,6.0,1,2018-04-06,0.0,42.0,2021-04-07,2018-03-07,6.0,50% + 1 of received ballots,FYPA 2018-061,888.0,In Favour,284.0,Yes
789634,343 Melrose Ave,Front Yard Parking,0,11.0,43.0,9,11.0,25% of ballots received by voters,0,43.0,0.0,2,2018-04-13,0.0,43.0,2021-04-14,2018-03-14,7.0,50% + 1 of received ballots,FYP 2018-062,889.0,In Favour,58.0,Yes
789635,244 Perth Ave,Commercial Boulevard Parking,0,19.0,63.0,11,16.0,25% of ballots received by voters,8,61.0,2.0,0,2018-04-27,0.0,63.0,2020-04-28,2018-03-28,11.0,50% + 1 of received ballots,CBP 2018-063,890.0,In Favour,91.0,Yes
789636,,Traffic Calming,0,35.0,55.0,23,29.0,50% + 1 of ballots received by voters,10,55.0,0.0,2,2018-04-14,0.0,55.0,2020-04-15,2018-03-15,21.0,60% of received ballots,TCP 2018-064,891.0,In Favour,62.0,Yes
789637,223 Hamilton St,Appeal - Front Yard Parking,0,43.0,86.0,28,21.0,25% of ballots received by voters,15,82.0,4.0,0,2018-04-20,0.0,86.0,2021-04-21,2018-03-21,23.0,50% + 1 of received ballots,FYPA 2018-065,892.0,In Favour,96.0,Yes
789638,249 Arlington Ave,Front Yard Parking,0,41.0,103.0,34,26.0,25% of ballots received by voters,5,103.0,0.0,2,2018-04-19,0.0,103.0,2021-04-20,2018-03-20,22.0,50% + 1 of received ballots,FYP 2018-066,893.0,In Favour,111.0,Yes
789639,17 Guestville Ave,Front Yard Parking,0,48.0,104.0,43,26.0,25% of ballots received by voters,5,102.0,2.0,0,2018-04-20,0.0,104.0,2021-04-21,2018-03-21,25.0,50% + 1 of received ballots,FYP 2018-067,894.0,In Favour,123.0,Yes
789640,,Traffic Calming,1,131.0,202.0,107,102.0,50% + 1 of ballots received by voters,16,202.0,0.0,7,2018-04-25,0.0,202.0,2020-04-26,2018-03-26,79.0,60% of received ballots,TCP 2018-068,895.0,In Favour,260.0,Yes
789641,392 Lauder Ave,Appeal - Front Yard Parking,0,25.0,75.0,22,19.0,25% of ballots received by voters,1,74.0,1.0,2,2018-04-21,0.0,75.0,2021-04-22,2018-03-22,14.0,50% + 1 of received ballots,FYPA 2018-069,896.0,In Favour,98.0,Yes
789642,184 Rosemount Ave (former Toronto),Appeal - Front Yard Parking,0,34.0,64.0,31,15.0,25% of ballots received by voters,0,57.0,7.0,3,2018-04-25,0.0,64.0,2021-04-26,2018-03-26,18.0,50% + 1 of received ballots,FYPA 2018-070,897.0,In Favour,87.0,Yes
789643,26 Baldwin St,Boulevard Cafe,0,31.0,184.0,20,42.0,25% of ballots received by voters,9,167.0,17.0,2,2018-04-21,0.0,184.0,2020-04-22,2018-03-22,,50% + 1 of received ballots,BCP 2018-071,898.0,Response Rate Not Met,201.0,No
789644,74 Humewood Dr,Front Yard Parking,0,8.0,16.0,8,4.0,25% of ballots received by voters,0,16.0,0.0,0,2018-04-26,0.0,16.0,2021-04-27,2018-03-27,5.0,50% + 1 of received ballots,FYP 2018-072,899.0,In Favour,18.0,Yes
